trade_id,entry_time,exit_time,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,fees,slippage_cost,net_pnl,return_pct,duration_bars,exit_reason
215,2025-08-01 09:00:00+00:00,2025-08-01 21:00:00+00:00,SHORT_SPREAD,2.9212,103.9,2.9945,107.55,-855.8126797206628,63.350249382749986,168.49734082351222,7.383256520562405,3.6916282602812025,157.4224560426686,0.017333283446248623,12,mean_reversion_exit
216,2025-08-02 14:00:00+00:00,2025-08-02 17:00:00+00:00,LONG_SPREAD,2.8773,108.33,2.8225,104.64,868.870121294269,-60.75963178129534,176.58895862605357,7.1569458791262175,3.5784729395631083,165.85353980736426,0.018261603130277214,3,mean_reversion_exit
217,2025-08-03 02:00:00+00:00,2025-08-06 10:00:00+00:00,LONG_SPREAD,2.8254,108.7,2.9349,116.49,884.8304664826219,-60.552814267412366,-374.81748706329506,7.493110872383376,3.746555436191688,-386.05715337187013,-0.042507519156179126,80,mean_reversion_exit
218,2025-08-11 12:00:00+00:00,2025-08-11 19:00:00+00:00,LONG_SPREAD,3.206,126.37,3.1474,121.45,779.7878976918279,-52.085866193461456,210.56689086708954,7.144889515703552,3.5724447578517755,199.8495565935342,0.022004795872984727,7,mean_reversion_exit
219,2025-08-12 20:00:00+00:00,2025-08-14 11:00:00+00:00,LONG_SPREAD,3.2899,129.8,3.2176,127.69,759.9015167634275,-50.709483134574135,52.05612975195646,7.2008975730638,3.6004487865318997,41.254783392360764,0.004542432331633553,39,mean_reversion_exit
220,2025-08-19 08:00:00+00:00,2025-08-20 08:00:00+00:00,SHORT_SPREAD,3.0076,115.04,2.9119,115.23,-831.2275568559648,57.2156720346638,90.41945487770171,7.238201728892367,3.6191008644461835,79.56215228436317,0.008760334273813345,24,mean_reversion_exit
221,2025-08-22 15:00:00+00:00,2025-08-22 17:00:00+00:00,LONG_SPREAD,3.016,119.42,3.0654,122.04,828.9124668435013,-55.117157183618524,-103.45867595901191,7.33981481976744,3.66990740988372,-114.46839818866307,-0.012603749435241724,2,stop_z_exit
222,2025-08-25 06:00:00+00:00,2025-08-27 04:00:00+00:00,SHORT_SPREAD,2.9546,113.7,3.0209,115.23,-846.1382251404589,57.88998162592545,32.472707560853536,7.3235409831799725,3.661770491589986,21.487396086083578,0.002365908500252022,46,mean_reversion_exit
223,2025-09-01 22:00:00+00:00,2025-09-02 00:00:00+00:00,SHORT_SPREAD,2.7425,107.31,2.7591,109.14,-911.5770282588878,61.33716252788858,97.11482875693852,7.316624403132233,3.6583122015661163,86.13989215224018,0.00948458818543253,2,mean_reversion_exit
224,2025-09-03 22:00:00+00:00,2025-09-04 04:00:00+00:00,LONG_SPREAD,2.8448,113.0,2.8495,111.46,878.7964004499437,-58.24859213157278,93.83317496473691,7.231443733173977,3.615721866586988,82.98600936497594,0.009137324232867347,6,mean_reversion_exit
225,2025-09-05 13:00:00+00:00,2025-09-06 04:00:00+00:00,LONG_SPREAD,2.8803,114.73,2.8155,111.55,867.9651425198764,-57.37026855110018,126.193312757211,7.170200090603066,3.5851000453015325,115.4380126213064,0.012710510581123128,15,mean_reversion_exit
