asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
SOL/USDT:USDT,AVAX/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9336140788503672,-2.8312288368587626,0.15595038199368416,-2.8309673233236996,0.05398464569278552,0.6464543277533636,236.20127324713337,3.1955493573799467,0.0691667346760759,False
SOL/USDT:USDT,LINK/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9260844988249091,-2.0762110318448195,0.48880623543996204,-2.0758316414568503,0.2543431954796067,0.7460367816822783,297.50611567666044,3.022374889202502,0.0728416561830534,False
SOL/USDT:USDT,DOT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.776258078102342,-2.0917648434181806,0.4806726274541289,-2.0932489233620557,0.2472378944282984,0.5560942128890524,540.9670509452327,4.476745933521125,0.12170294733006919,False
SOL/USDT:USDT,LTC/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8481927967645678,-1.9595177689792111,0.5495463076035564,-1.9591846393430776,0.3047508060377484,1.1011436780688653,292.02403849140995,0.08540561885265527,0.10225727304780656,False
SOL/USDT:USDT,BCH/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.32445268802409855,-0.4302167989967714,0.9689446077749421,-0.4291578890661081,0.9051154475418273,0.6686903215602596,3215.2373512466525,0.9286265071123254,0.18260829031044604,False
SOL/USDT:USDT,ATOM/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.7064811166731162,-1.8833218530360922,0.588441295669042,-1.8831852763506491,0.3400121594256159,0.47146952803779174,612.7851965622596,4.534955364421983,0.13662908106883837,False
SOL/USDT:USDT,NEAR/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8199376565468323,-2.2402080213449813,0.40373632370761053,-2.2413848208800506,0.19156933760032385,0.8022439541094504,438.77674049052206,4.462455699826496,0.11051318240102866,False
SOL/USDT:USDT,APT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.6842597062925557,-1.8959325549167578,0.5820684191075411,-1.895796014881592,0.3340413752499444,0.35229423297391615,598.1343929059741,4.683884619110347,0.14078095742411342,False
SOL/USDT:USDT,ARB/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8584159723413812,-1.9844172705293945,0.5366681088121299,-1.9846662241558,0.29333663114998937,0.4983122784447571,435.2835753454486,5.671218073159679,0.09902685276768179,False
SOL/USDT:USDT,OP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.7786074299983667,-1.9054369606717025,0.5772467421587906,-1.9054478894703484,0.3295026078441633,0.42254608979334213,549.5929864736081,5.40450263584717,0.12114233843283925,False
